Entity,Code,Year,Nuclear - % electricity,Fossil fuels - % electricity,Renewables - % electricity
World,OWID_WRL,1985,15.060812,63.57913,20.817406
World,OWID_WRL,1986,15.6641655,63.256134,20.545267
World,OWID_WRL,1987,16.257086,63.330498,19.913677
World,OWID_WRL,1988,16.976147,62.816746,19.683376
World,OWID_WRL,1989,16.683971,63.95404,18.82981
World,OWID_WRL,1990,16.725513,63.663364,19.060268
World,OWID_WRL,1991,17.151306,63.183662,19.107433
World,OWID_WRL,1992,17.121964,63.29175,19.006237
World,OWID_WRL,1993,17.341183,62.371223,19.707054
World,OWID_WRL,1994,17.224264,62.824768,19.377954
World,OWID_WRL,1995,17.355885,62.288498,19.720375
World,OWID_WRL,1996,17.442917,62.527843,19.405787
World,OWID_WRL,1997,16.916573,63.07223,19.361847
World,OWID_WRL,1998,16.754206,63.500553,19.060722
World,OWID_WRL,1999,16.90789,63.637985,18.753927
World,OWID_WRL,2000,16.629356,64.66011,18.71053
World,OWID_WRL,2001,16.859814,65.10097,18.039213
World,OWID_WRL,2002,16.541706,65.55526,17.903036
World,OWID_WRL,2003,15.6439085,66.91867,17.43742
World,OWID_WRL,2004,15.617295,66.412254,17.970448
World,OWID_WRL,2005,15.038879,66.87505,18.086063
World,OWID_WRL,2006,14.659592,67.11958,18.22083
World,OWID_WRL,2007,13.714841,68.3243,17.960852
World,OWID_WRL,2008,13.40664,67.69708,18.896273
World,OWID_WRL,2009,13.322836,67.22397,19.453197
World,OWID_WRL,2010,12.819806,67.467186,19.713007
World,OWID_WRL,2011,11.888375,68.099266,20.01236
World,OWID_WRL,2012,10.802262,68.22957,20.968172
World,OWID_WRL,2013,10.574298,67.72103,21.704664
World,OWID_WRL,2014,10.521225,67.22324,22.255533
World,OWID_WRL,2015,10.55133,66.457466,22.991205
World,OWID_WRL,2016,10.424819,65.820564,23.754622
World,OWID_WRL,2017,10.212237,65.24569,24.542074
World,OWID_WRL,2018,10.070898,64.75042,25.178684
World,OWID_WRL,2019,10.287461,63.525356,26.18718
World,OWID_WRL,2020,9.9358015,61.987476,28.076723
World,OWID_WRL,2021,9.805651,62.0539,28.140446
World,OWID_WRL,2022,9.151732,61.43218,29.41609
World,OWID_WRL,2023,9.110673,60.65124,30.238085